umap_n_components,umap_n_neighbors,umap_min_dist,k,silhouette_score
5,3,0.15,10,0.7146567
5,10,0.02,10,0.71452695
10,10,0.11,10,0.7145167
4,10,0.04,10,0.7144762
7,9,0.04,10,0.7144623
2,6,0.02,10,0.71423745
3,5,0.06,9,0.7141734
3,4,0.13,9,0.71416265
4,4,0.12,9,0.7140234
4,8,0.08,10,0.71401525
5,5,0.05,8,0.7139955
4,8,0.14,9,0.71393853
4,4,0.05,10,0.7139375
4,5,0.03,10,0.713889
9,9,0.08,9,0.7137928
2,8,0.14,8,0.71357363
5,7,0.03,10,0.71354795
10,4,0.02,9,0.7134545
9,6,0.15,10,0.71316034
5,5,0.13,8,0.71310425
7,9,0.02,10,0.71304
2,7,0.1,9,0.7129527
